,type,review,star
41,아이패드,"아이폰이 있다면 테블릿은 아이패드로 사는게 훨씬 활용이 좋네요~ 그리고 아이패드용 외장하드가 있다길래~ 지금은 노트북 보조용으로 32G로 샀어요~ 강의듣고 인터넷 검색, 문서작성을로는 적당해요~ 애플만의 디자인은 깔끔하고 항상 마음에 들어요^^ ",5
42,아이패드,다른곳과 비교해 보았을때 가격이 저렴 할뿐만 아니라 배송도 엄청 빨랐어요. 인강들을 목적으로 구입해서 사용하고 있는데 너무너무 좋아요. 가성비 짱짱 입니다. 고민하고 계신다면 사셔도 절때 후회없으실 것 같아요.단 한가지 단점이 있다면 조금 무거워요. 개인적인 느낌이지만 LG 그램 노트북과 무게가 비슷한 것 같아요.,5
43,아이패드,배송은 주말시작할때 주문해서 화요일에 받았습니다!사기전에 후기가 없어서 고민 했는데 고민할 필요가 없었습니다ㅎㅎ배송도 빠르고 제품도 만족해요!케이스도 같은 날 도착해서 껴보니 찰떡이네여 맘에들어요!제품도 2019/2월 생산된 제품 받았어요 많이 파세요^_^,5
44,아이패드,기존 아이패드 4세대 레티나 사용자 인데 밝기가 너무 차이납니다. 4세대 화면밝기의 반정도 밖에 안됩니다4세대에 비해 베터리 용량이 줄었는데 아무래도 무개를 200그램 가까지 줄이다보니 베터리 용량도 줄어든것 같은데 사용시간을 늘리려고 그런건지 화면 밝기가 너무 어두워 눈이 침침하네요. 다른분들도 그런가요?>,5
45,아이패드,가격도 여기가 제일 저렴했고 전날 네시 넘어서 입금했었는데 하루만에 받았어요!!진짜 총알배송이구 포장도 꼼꼼히 잘 돼서 왔습니다 ㅠㅠ 선물용이라 아직 본체 박스 뜯어보진 않았는데 만족스러워요!! 다들 여기서 구매하세요~~감사합니다ㅎㅎㅎㅎ,5
46,아이패드,배그하려고 한달전 국내정발된 미디어패드m5 샀다가 와이파이 블루투스 동시사용 불가한 문제점과 터치와 프레임 문제로 중고보내버리고 아이패드 프로는 부담스러워서 6세대구매.. 메모리 2기가가 맘에 걸렸지만 닥치고 아이패드가 갑이란걸 알게됨!! 모바일 게임하실분들 아패프로>아패6세대>나머지가성비 아패6세대짱입니다모배 원활 극한 기본설정가능,5
47,아이패드,밤 10:30에 택배를 보내주겠다해서 추석지난 기간이라 바쁘셨구나 생각해서 기쁜마음으로 기다렸습니다.밤 12시가 지나도 택배는 오지않고 전화를 다시하니 퇴근을하셨다네요.저희집은 101동인데 102동에 배송을 하셨습니다.오배송도 실수니 이해하는데 여자인 저보고 그 밤에 102동에 사는 사람집에 가보라니요? 죄송합니다도 없이 어쩌죠 지금 한번가실래요?? 실수하신분 태도이신가요??밤에 찾아가는건 예의가 아니라 내일 찾아달라하니 내일 저보고 일찍 가보라하시네요...??무슨 이런 배송이있나요신랑이 전화를 받으니 그제서야 죄송하다고 바로 오겠다고 하시네요 여자라고 그렇게 행동하신건지 매우 불쾌했습니다.,5
48,아이패드,스페이스 그레이 1개 수량 남아서 구입했는데 골드로 넘어갔나보네요. 아이폰도 골드인데 그렇게 별로라서 아이패드도 골드 역시나.... 기기는 좋아요. 아이패드 첨 써봐서 그런지 빠르네요. 제 아이폰은 오래되서 느린데... 이거 몇 년 쓰다가 프로로 넘어가야겠습니다. 색상만 골드가 아니면 좋았을텐데 나머지는 다 좋아요. ,5
49,아이패드,"다시는 하고 싶지 않습니다.주말 퇴근시간 차 밀리는 도로에서 왕복 2시간 넘게 운전해서 물건 받으러 다녀왔더니 너무 힘들고 화가 나네요.물건 받으러 간 매장에서도 ""택배로 받으시지 왜 직접왔냐""고 묻길래 앱에서 주문시 스마트픽외에는 택배 주문은 안된다고 하니 벙쪄하던데 시정좀 합시다.",5
50,아이패드,"아이패드 첫 사용이라 걱정이 많았는데, 성능/무게/기능 모두 만족스럽습니다^디스플레이도 갤럭시 대비 깨끗하고 사운드, 터치 모두 만족스럽습니다.배송이... 어린이날, 대체휴무가 있어서 늦어진 것 빼고 싸게 잘 샀다고 생각됩니다~",5
